url | timestamp | loglevel | log
https://tech.guitarrapc.com/entry/2013/03/09/010335 | 2019-01-08T18:41:29 | Warning | https://tech.guitarrapc.com/entry/2013/03/09/010335 978 Mixed Content: The page at 'https://tech.guitarrapc.com/entry/2013/03/09/010335' was loaded over HTTPS, but requested an insecure image 'http://guitarrapc.files.wordpress.com/2013/03/screenshot-361.png'. This content should also be served over HTTPS.
https://tech.guitarrapc.com/entry/2013/03/09/010335 | 2019-01-08T18:41:29 | Warning | https://tech.guitarrapc.com/entry/2013/03/09/010335 1129 Mixed Content: The page at 'https://tech.guitarrapc.com/entry/2013/03/09/010335' was loaded over HTTPS, but requested an insecure image 'http://guitarrapc.files.wordpress.com/2013/03/screenshot-362.png'. This content should also be served over HTTPS.
https://tech.guitarrapc.com/entry/2013/03/09/010335 | 2019-01-08T18:41:29 | Warning | https://tech.guitarrapc.com/entry/2013/03/09/010335 1280 Mixed Content: The page at 'https://tech.guitarrapc.com/entry/2013/03/09/010335' was loaded over HTTPS, but requested an insecure image 'http://guitarrapc.files.wordpress.com/2013/03/screenshot-363.png'. This content should also be served over HTTPS.
https://tech.guitarrapc.com/entry/2013/03/09/010335 | 2019-01-08T18:41:29 | Warning | https://tech.guitarrapc.com/entry/2013/03/09/010335 1431 Mixed Content: The page at 'https://tech.guitarrapc.com/entry/2013/03/09/010335' was loaded over HTTPS, but requested an insecure image 'http://guitarrapc.files.wordpress.com/2013/03/screenshot-364.png'. This content should also be served over HTTPS.
https://tech.guitarrapc.com/entry/2013/03/09/010335 | 2019-01-08T18:41:29 | Warning | https://tech.guitarrapc.com/entry/2013/03/09/010335 1582 Mixed Content: The page at 'https://tech.guitarrapc.com/entry/2013/03/09/010335' was loaded over HTTPS, but requested an insecure image 'http://guitarrapc.files.wordpress.com/2013/03/screenshot-367.png'. This content should also be served over HTTPS.
https://tech.guitarrapc.com/entry/2013/02/20/060244 | 2019-01-08T18:42:12 | Warning | https://tech.guitarrapc.com/entry/2013/02/20/060244 365 Mixed Content: The page at 'https://tech.guitarrapc.com/entry/2013/02/20/060244' was loaded over HTTPS, but requested an insecure image 'http://guitarrapc.files.wordpress.com/2013/02/screenshot-293.png?w=400'. This content should also be served over HTTPS.
https://tech.guitarrapc.com/entry/2013/02/16/000227 | 2019-01-08T18:42:29 | Warning | https://tech.guitarrapc.com/entry/2013/02/16/000227 346 Mixed Content: The page at 'https://tech.guitarrapc.com/entry/2013/02/16/000227' was loaded over HTTPS, but requested an insecure image 'http://guitarrapc.files.wordpress.com/2013/02/screenshot-289.png?w=630'. This content should also be served over HTTPS.
https://tech.guitarrapc.com/entry/2013/02/16/000227 | 2019-01-08T18:42:29 | Warning | https://tech.guitarrapc.com/entry/2013/02/16/000227 349 Mixed Content: The page at 'https://tech.guitarrapc.com/entry/2013/02/16/000227' was loaded over HTTPS, but requested an insecure image 'http://guitarrapc.files.wordpress.com/2013/02/screenshot-291.png?w=400'. This content should also be served over HTTPS.
https://tech.guitarrapc.com/entry/2013/02/16/000227 | 2019-01-08T18:42:29 | Warning | https://tech.guitarrapc.com/entry/2013/02/16/000227 375 Mixed Content: The page at 'https://tech.guitarrapc.com/entry/2013/02/16/000227' was loaded over HTTPS, but requested an insecure image 'http://guitarrapc.files.wordpress.com/2013/02/screenshot-290.png?w=630'. This content should also be served over HTTPS.
https://tech.guitarrapc.com/entry/2013/02/15/230258 | 2019-01-08T18:42:34 | Warning | https://tech.guitarrapc.com/entry/2013/02/15/230258 325 Mixed Content: The page at 'https://tech.guitarrapc.com/entry/2013/02/15/230258' was loaded over HTTPS, but requested an insecure image 'http://guitarrapc.files.wordpress.com/2013/02/screenshot-282.png?w=400'. This content should also be served over HTTPS.
https://tech.guitarrapc.com/entry/2013/02/15/230258 | 2019-01-08T18:42:34 | Warning | https://tech.guitarrapc.com/entry/2013/02/15/230258 331 Mixed Content: The page at 'https://tech.guitarrapc.com/entry/2013/02/15/230258' was loaded over HTTPS, but requested an insecure image 'http://guitarrapc.files.wordpress.com/2013/02/screenshot-283.png?w=400'. This content should also be served over HTTPS.
https://tech.guitarrapc.com/entry/2013/02/15/230258 | 2019-01-08T18:42:34 | Warning | https://tech.guitarrapc.com/entry/2013/02/15/230258 335 Mixed Content: The page at 'https://tech.guitarrapc.com/entry/2013/02/15/230258' was loaded over HTTPS, but requested an insecure image 'http://guitarrapc.files.wordpress.com/2013/02/screenshot-284.png?w=400'. This content should also be served over HTTPS.
https://tech.guitarrapc.com/entry/2013/02/15/230209 | 2019-01-08T18:42:40 | Warning | https://tech.guitarrapc.com/entry/2013/02/15/230209 324 Mixed Content: The page at 'https://tech.guitarrapc.com/entry/2013/02/15/230209' was loaded over HTTPS, but requested an insecure image 'http://guitarrapc.files.wordpress.com/2013/02/screenshot-285.png?w=400'. This content should also be served over HTTPS.
https://tech.guitarrapc.com/entry/2013/02/15/230209 | 2019-01-08T18:42:40 | Warning | https://tech.guitarrapc.com/entry/2013/02/15/230209 327 Mixed Content: The page at 'https://tech.guitarrapc.com/entry/2013/02/15/230209' was loaded over HTTPS, but requested an insecure image 'http://guitarrapc.files.wordpress.com/2013/02/screenshot-286.png?w=220'. This content should also be served over HTTPS.
